Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
AdultNHOtherRace_2020,Non-Hispanic other race adults,"# Non-Hispanic other race adults, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultHispanic_2020,"Hispanic adults, all races","# Hispanic adults, all races, 2020",Count,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildPop_2020,Children,"# Children, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,Population by Age,Total population,,PopChange_1990to2020
ChildNHWhite_2020,Non-Hispanic White children,"# Non-Hispanic White children, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHBlack_2020,Non-Hispanic Black children,"# Non-Hispanic Black children, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHAsianPI_2020,Non-Hispanic Asian or Pacific Islander children,"# Non-Hispanic Asian or Pacific Islander children, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHOtherRace_2020,Non-Hispanic other race children,"# Non-Hispanic other race children, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildHispanic_2020,"Hispanic children, all races","# Hispanic children, all races, 2020",Count,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
TotalHU_2020,Total housing units,"# Total housing units, 2020",Count,,Census 2020 Redistricting Summary Data File,H1,,2020,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
OccupiedHU_2020,Occupied housing units,"# Occupied housing units, 2020",Count,,Census 2020 Redistricting Summary Data File,H1,,2020,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
VacantHU_2020,Vacant housing units,"# Vacant housing units, 2020",Count,,Census 2020 Redistricting Summary Data File,H1,,2020,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pNHWhite_2020,Non-Hispanic White,"% Non-Hispanic White, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHBlack_2020,Non-Hispanic Black,"% Non-Hispanic Black, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHAsianPI_2020,Non-Hispanic Asian or Pacific Islander,"% Non-Hispanic Asian or Pacific Islander, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHOtherRace_2020,Non-Hispanic other race,"% Non-Hispanic other race, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pHispanic_2020,"Hispanic, all races","% Hispanic, all races, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,,2020,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pAdultPop_2020,Adults,"% Adults, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pAdultNHWhite_2020,Non-Hispanic White adults,"% Non-Hispanic White adults, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHBlack_2020,Non-Hispanic Black adults,"% Non-Hispanic Black adults, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHAsianPI_2020,Non-Hispanic Asian or Pacific Islander adults,"% Non-Hispanic Asian or Pacific Islander adults, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHOtherRace_2020,Non-Hispanic other race adults,"% Non-Hispanic other race adults, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultHispanic_2020,"Hispanic adults, all races","% Hispanic adults, all races, 2020",Percent,,Census 2020 Redistricting Summary Data File,P4,,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildPop_2020,Children,"% Children, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pChildNHWhite_2020,Non-Hispanic White children,"% Non-Hispanic White children, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHBlack_2020,Non-Hispanic Black children,"% Non-Hispanic Black children, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHAsianPI_2020,Non-Hispanic Asian or Pacific Islander children,"% Non-Hispanic Asian or Pacific Islander children, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHOtherRace_2020,Non-Hispanic other race children,"% Non-Hispanic other race children, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildHispanic_2020,"Hispanic children, all races","% Hispanic children, all races, 2020",Percent,,Census 2020 Redistricting Summary Data File,P2,P4,2020,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pOccupiedHU_2020,Occupied housing units,"% Occupied housing units, 2020",Percent,,Census 2020 Redistricting Summary Data File,H1,,2020,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pVacantHU_2020,Vacant housing units,"% Vacant housing units, 2020",Percent,,Census 2020 Redistricting Summary Data File,H1,,2020,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
TotalPop_2010,Total population,"# Total population, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population,Total population,,PopChange_1990to2020
NHWhite_2010,Non-Hispanic White,"# Non-Hispanic White, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHBlack_2010,Non-Hispanic Black,"# Non-Hispanic Black, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHAsianPI_2010,Non-Hispanic Asian or Pacific Islander,"# Non-Hispanic Asian or Pacific Islander, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHOtherRace_2010,Non-Hispanic other race,"# Non-Hispanic other race, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
Hispanic_2010,"Hispanic, all races","# Hispanic, all races, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
AdultPop_2010,Adults,"# Adults, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,Population by Age,Total population,,PopChange_1990to2020
AdultNHWhite_2010,Non-Hispanic White adults,"# Non-Hispanic White adults, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHBlack_2010,Non-Hispanic Black adults,"# Non-Hispanic Black adults, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHAsianPI_2010,Non-Hispanic Asian or Pacific Islander adults,"# Non-Hispanic Asian or Pacific Islander adults, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHOtherRace_2010,Non-Hispanic other race adults,"# Non-Hispanic other race adults, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultHispanic_2010,"Hispanic adults, all races","# Hispanic adults, all races, 2010",Count,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildPop_2010,Children,"# Children, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,Population by Age,Total population,,PopChange_1990to2020
ChildNHWhite_2010,Non-Hispanic White children,"# Non-Hispanic White children, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHBlack_2010,Non-Hispanic Black children,"# Non-Hispanic Black children, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHAsianPI_2010,Non-Hispanic Asian or Pacific Islander children,"# Non-Hispanic Asian or Pacific Islander children, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHOtherRace_2010,Non-Hispanic other race children,"# Non-Hispanic other race children, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildHispanic_2010,"Hispanic children, all races","# Hispanic children, all races, 2010",Count,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
TotalHU_2010,Total housing units,"# Total housing units, 2010",Count,,Census 2010 Redistricting Summary Data File,H1,,2010,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
OccupiedHU_2010,Occupied housing units,"# Occupied housing units, 2010",Count,,Census 2010 Redistricting Summary Data File,H1,,2010,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
VacantHU_2010,Vacant housing units,"# Vacant housing units, 2010",Count,,Census 2010 Redistricting Summary Data File,H1,,2010,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pNHWhite_2010,Non-Hispanic White,"% Non-Hispanic White, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHBlack_2010,Non-Hispanic Black,"% Non-Hispanic Black, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHAsianPI_2010,Non-Hispanic Asian or Pacific Islander,"% Non-Hispanic Asian or Pacific Islander, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHOtherRace_2010,Non-Hispanic other race,"% Non-Hispanic other race, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pHispanic_2010,"Hispanic, all races","% Hispanic, all races, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,,2010,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pAdultPop_2010,Adults,"% Adults, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pAdultNHWhite_2010,Non-Hispanic White adults,"% Non-Hispanic White adults, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHBlack_2010,Non-Hispanic Black adults,"% Non-Hispanic Black adults, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHAsianPI_2010,Non-Hispanic Asian or Pacific Islander adults,"% Non-Hispanic Asian or Pacific Islander adults, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHOtherRace_2010,Non-Hispanic other race adults,"% Non-Hispanic other race adults, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultHispanic_2010,"Hispanic adults, all races","% Hispanic adults, all races, 2010",Percent,,Census 2010 Redistricting Summary Data File,P4,,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildPop_2010,Children,"% Children, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pChildNHWhite_2010,Non-Hispanic White children,"% Non-Hispanic White children, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHBlack_2010,Non-Hispanic Black children,"% Non-Hispanic Black children, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHAsianPI_2010,Non-Hispanic Asian or Pacific Islander children,"% Non-Hispanic Asian or Pacific Islander children, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHOtherRace_2010,Non-Hispanic other race children,"% Non-Hispanic other race children, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildHispanic_2010,"Hispanic children, all races","% Hispanic children, all races, 2010",Percent,,Census 2010 Redistricting Summary Data File,P2,P4,2010,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pOccupiedHU_2010,Occupied housing units,"% Occupied housing units, 2010",Percent,,Census 2010 Redistricting Summary Data File,H1,,2010,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pVacantHU_2010,Vacant housing units,"% Vacant housing units, 2010",Percent,,Census 2010 Redistricting Summary Data File,H1,,2010,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
TotalPop_2000,Total population,"# Total population, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population,Total population,,PopChange_1990to2020
NHWhite_2000,Non-Hispanic White,"# Non-Hispanic White, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHBlack_2000,Non-Hispanic Black,"# Non-Hispanic Black, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHAsianPI_2000,Non-Hispanic Asian or Pacific Islander,"# Non-Hispanic Asian or Pacific Islander, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHOtherRace_2000,Non-Hispanic other race,"# Non-Hispanic other race, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
Hispanic_2000,"Hispanic, all races","# Hispanic, all races, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
AdultPop_2000,Adults,"# Adults, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,Population by Age,Total population,,PopChange_1990to2020
AdultNHWhite_2000,Non-Hispanic White adults,"# Non-Hispanic White adults, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHBlack_2000,Non-Hispanic Black adults,"# Non-Hispanic Black adults, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHAsianPI_2000,Non-Hispanic Asian or Pacific Islander adults,"# Non-Hispanic Asian or Pacific Islander adults, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHOtherRace_2000,Non-Hispanic other race adults,"# Non-Hispanic other race adults, 2000",Count,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultHispanic_2000,"Hispanic adults, all races","# Hispanic adults, all races, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildPop_2000,Children,"# Children, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,Population by Age,Total population,,PopChange_1990to2020
ChildNHWhite_2000,Non-Hispanic White children,"# Non-Hispanic White children, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHBlack_2000,Non-Hispanic Black children,"# Non-Hispanic Black children, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHAsianPI_2000,Non-Hispanic Asian or Pacific Islander children,"# Non-Hispanic Asian or Pacific Islander children, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildNHOtherRace_2000,Non-Hispanic other race children,"# Non-Hispanic other race children, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
ChildHispanic_2000,"Hispanic children, all races","# Hispanic children, all races, 2000",Count,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
TotalHU_2000,Total housing units,"# Total housing units, 2000",Count,,Census 2000 Summary File 1,H3,,2000,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
OccupiedHU_2000,Occupied housing units,"# Occupied housing units, 2000",Count,,Census 2000 Summary File 1,H3,,2000,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
VacantHU_2000,Vacant housing units,"# Vacant housing units, 2000",Count,,Census 2000 Summary File 1,H3,,2000,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pNHWhite_2000,Non-Hispanic White,"% Non-Hispanic White, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHBlack_2000,Non-Hispanic Black,"% Non-Hispanic Black, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHAsianPI_2000,Non-Hispanic Asian or Pacific Islander,"% Non-Hispanic Asian or Pacific Islander, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pNHOtherRace_2000,Non-Hispanic other race,"% Non-Hispanic other race, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pHispanic_2000,"Hispanic, all races","% Hispanic, all races, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,,2000,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
pAdultPop_2000,Adults,"% Adults, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pAdultNHWhite_2000,Non-Hispanic White adults,"% Non-Hispanic White adults, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHBlack_2000,Non-Hispanic Black adults,"% Non-Hispanic Black adults, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHAsianPI_2000,Non-Hispanic Asian or Pacific Islander adults,"% Non-Hispanic Asian or Pacific Islander adults, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultNHOtherRace_2000,Non-Hispanic other race adults,"% Non-Hispanic other race adults, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pAdultHispanic_2000,"Hispanic adults, all races","% Hispanic adults, all races, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL4,,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildPop_2000,Children,"% Children, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,Population by Age,Total population,,PopChange_1990to2020
pChildNHWhite_2000,Non-Hispanic White children,"% Non-Hispanic White children, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHBlack_2000,Non-Hispanic Black children,"% Non-Hispanic Black children, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHAsianPI_2000,Non-Hispanic Asian or Pacific Islander children,"% Non-Hispanic Asian or Pacific Islander children, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildNHOtherRace_2000,Non-Hispanic other race children,"% Non-Hispanic other race children, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pChildHispanic_2000,"Hispanic children, all races","% Hispanic children, all races, 2000",Percent,,Census 2000 Redistricting Summary Data File,PL2,PL4,2000,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
pOccupiedHU_2000,Occupied housing units,"% Occupied housing units, 2000",Percent,,Census 2000 Summary File 1,H3,,2000,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
pVacantHU_2000,Vacant housing units,"% Vacant housing units, 2000",Percent,,Census 2000 Summary File 1,H3,,2000,,Housing,Housing Characteristics,Total Housing Units,,PopChange_1990to2020
TotalPop_1990,Total population,"# Total population, 1990",Count,,Census 1990 Redistricting Summary Data File,P1,,1990,,Demographic,Population,Total population,,PopChange_1990to2020
NHWhite_1990,Non-Hispanic White,"# Non-Hispanic White, 1990",Count,,Census 1990 Redistricting Summary Data File,P4,,1990,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHBlack_1990,Non-Hispanic Black,"# Non-Hispanic Black, 1990",Count,,Census 1990 Redistricting Summary Data File,P4,,1990,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHAsianPI_1990,Non-Hispanic Asian or Pacific Islander,"# Non-Hispanic Asian or Pacific Islander, 1990",Count,,Census 1990 Redistricting Summary Data File,P4,,1990,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
NHOtherRace_1990,Non-Hispanic other race,"# Non-Hispanic other race, 1990",Count,,Census 1990 Redistricting Summary Data File,P4,,1990,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
Hispanic_1990,"Hispanic, all races","# Hispanic, all races, 1990",Count,,Census 1990 Redistricting Summary Data File,P4,,1990,,Demographic,Population by Race and Ethnicity,Total population,,PopChange_1990to2020
AdultPop_1990,Adults,"# Adults, 1990",Count,,Census 1990 Redistricting Summary Data File,P5,,1990,,Demographic,Population by Age,Total population,,PopChange_1990to2020
AdultNHWhite_1990,Non-Hispanic White adults,"# Non-Hispanic White adults, 1990",Count,,Census 1990 Redistricting Summary Data File,P5,,1990,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHBlack_1990,Non-Hispanic Black adults,"# Non-Hispanic Black adults, 1990",Count,,Census 1990 Redistricting Summary Data File,P5,,1990,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
AdultNHAsianPI_1990,Non-Hispanic Asian or Pacific Islander adults,"# Non-Hispanic Asian or Pacific Islander adults, 1990",Count,,Census 1990 Redistricting Summary Data File,P5,,1990,,Demographic,"Population by Age, Race, and Ethnicity",Total population,,PopChange_1990to2020
