Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
TestedFemale,Fitness Tested: Female,"# Fitness Tested: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
AverageFemale,Average Fitness Score: Female,"Average Fitness Score: Female, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
InHFZFemale,in Healthy Fitness Zone: Female,"# in Healthy Fitness Zone: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
pInHFZFemale,in Healthy Fitness Zone: Female,"% in Healthy Fitness Zone: Female, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Elem_Schools_2019
TotalStudents,Total students,"# Total students, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
AbsentLt10Pct,Students absent less than 10 percent of enrolled days,"# Students absent less than 10 percent of enrolled days, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Elem_Schools_2019
pAbsentLt10Pct,Students absent less than 10 perrcent of endolled days,"% Students absent less than 10 percent of endolled days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Elem_Schools_2019
TOTAL_STUDENT_CT,Total Student Count,"Total Student Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
OSS_ZERO_DAYS,0 days Out of School Suspension,"0 days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
OSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"1-2 Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
OSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"3+ Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
pOSS_ZERO_DAYS,0 days Out of School Suspension,"% 0 days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
pOSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"% 1-2 Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
pOSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"% 3+ Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Elem_Schools_2019
Homeless,Homeless students enrolled at any time during the school year,"# Homeless students enrolled at any time during the school year, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
SchoolAdmin,School Administration: $ per Full-time Equivalent,"School Administration: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Food,School Food Services: $ per Full-time Equivalent,"School Food Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
Transport,Transportation: $ per Full-time Equivalent,"Transportation: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
TotalSpend,Total: $ per Full-time Equivalent,"Total: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Elem_Schools_2019
CCRPI,College and Career Ready Performance Index (CCRPI),"College and Career Ready Performance Index (CCRPI), 2019",Index,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_Elem_Schools_2019
ClimateStar,Georgia School Climate Star Rating,"Georgia School Climate Star Rating, 2019",Index,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Rating,,,GA_Elem_Schools_2019
NTestedELA3,Tested: 3rd Grade ELA,"# Tested: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Begin_CntELA3,Beginning: 3rd Grade ELA,"# Beginning: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Develop_CntELA3,Developing: 3rd Grade ELA,"# Developing: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Prof_CntELA3,Proficient: 3rd Grade ELA,"# Proficient: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Dist_CntELA3,Distinguished: 3rd Grade ELA,"# Distinguished: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pBeginELA3,Beginning: 3rd Grade ELA,"% Beginning: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevelopELA3,Developing: 3rd Grade ELA,"% Developing: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfELA3,Proficient: 3rd Grade ELA,"% Proficient: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDistELA3,Distinguished: 3rd Grade ELA,"% Distinguished: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
DevPlus_CntELA3,Developing or Higher: 3rd Grade ELA,"# Developing or Higher: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
ProfPlus_CntELA3,Proficient or Higher: 3rd Grade ELA,"# Proficient or Higher: 3rd Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevPlusELA3,Developing or Higher: 3rd Grade ELA,"% Developing or Higher: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfPlusELA3,Proficient or Higher: 3rd Grade ELA,"% Proficient or Higher: 3rd Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
NTestedELA5,Tested: 5th Grade ELA,"# Tested: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Begin_CntELA5,Beginning: 5th Grade ELA,"# Beginning: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Develop_CntELA5,Developing: 5th Grade ELA,"# Developing: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Prof_CntELA5,Proficient: 5th Grade ELA,"# Proficient: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Dist_CntELA5,Distinguished: 5th Grade ELA,"# Distinguished: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pBeginELA5,Beginning: 5th Grade ELA,"% Beginning: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevelopELA5,Developing: 5th Grade ELA,"% Developing: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfELA5,Proficient: 5th Grade ELA,"% Proficient: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDistELA5,Distinguished: 5th Grade ELA,"% Distinguished: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
DevPlus_CntELA5,Developing or Higher: 5th Grade ELA,"# Developing or Higher: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
ProfPlus_CntELA5,Proficient or Higher: 5th Grade ELA,"# Proficient or Higher: 5th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevPlusELA5,Developing or Higher: 5th Grade ELA,"% Developing or Higher: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfPlusELA5,Proficient or Higher: 5th Grade ELA,"% Proficient or Higher: 5th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
NTestedMath3,Tested: 3rd Grade Math,"# Tested: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Begin_CntMath3,Beginning: 3rd Grade Math,"# Beginning: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Develop_CntMath3,Developing: 3rd Grade Math,"# Developing: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Prof_CntMath3,Proficient: 3rd Grade Math,"# Proficient: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Dist_CntMath3,Distinguished: 3rd Grade Math,"# Distinguished: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pBeginMath3,Beginning: 3rd Grade Math,"% Beginning: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevelopMath3,Developing: 3rd Grade Math,"% Developing: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfMath3,Proficient: 3rd Grade Math,"% Proficient: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDistMath3,Distinguished: 3rd Grade Math,"% Distinguished: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
DevPlus_CntMath3,Developing or Higher: 3rd Grade Math,"# Developing or Higher: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
ProfPlus_CntMath3,Proficient or Higher: 3rd Grade Math,"# Proficient or Higher: 3rd Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevPlusMath3,Developing or Higher: 3rd Grade Math,"% Developing or Higher: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfPlusMath3,Proficient or Higher: 3rd Grade Math,"% Proficient or Higher: 3rd Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
NTestedMath5,Tested: 5th Grade Math,"# Tested: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Begin_CntMath5,Beginning: 5th Grade Math,"# Beginning: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Develop_CntMath5,Developing: 5th Grade Math,"# Developing: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Prof_CntMath5,Proficient: 5th Grade Math,"# Proficient: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
Dist_CntMath5,Distinguished: 5th Grade Math,"# Distinguished: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pBeginMath5,Beginning: 5th Grade Math,"% Beginning: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevelopMath5,Developing: 5th Grade Math,"% Developing: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfMath5,Proficient: 5th Grade Math,"% Proficient: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDistMath5,Distinguished: 5th Grade Math,"% Distinguished: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
DevPlus_CntMath5,Developing or Higher: 5th Grade Math,"# Developing or Higher: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
chENROLLMENTCnt,"Change since School Year 2015-2016, Full-time Equivalent Count","# Change since School Year 2015-2016, Full-time Equivalent Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
pchENROLLMENTCnt,"Change since School Year 2015-2016, Full-time Equivalent Count","% Change since School Year 2015-2016, Full-time Equivalent Count, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
chCCRPI,"Change since School Year 2015-2016, College and Career Ready Performance Index (CCRPI)","# Change since School Year 2015-2016, College and Career Ready Performance Index (CCRPI), 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Elem_Schools_2019
chpProfPlusELA3,"Change in Percent since 2016, Proficient or Higher: 3rd Grade ELA","Change in Percent since 2016, % Proficient or Higher: 3rd Grade ELA, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
chpProfPlusMath3,"Change in Percent since 2016, Proficient or Higher: 3rd Grade Math","Change in Percent since 2016, % Proficient or Higher: 3rd Grade Math, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
chpProfPlusELA5,"Change in Percent since 2016, Proficient or Higher: 5th Grade ELA","Change in Percent since 2016, % Proficient or Higher: 5th Grade ELA, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
chpProfPlusMath5,"Change in Percent since 2016, Proficient or Higher: 5th Grade Math","Change in Percent since 2016, % Proficient or Higher: 5th Grade Math, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
ProfPlus_CntMath5,Proficient or Higher: 5th Grade Math,"# Proficient or Higher: 5th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pDevPlusMath5,Developing or Higher: 5th Grade Math,"% Developing or Higher: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
pProfPlusMath5,Proficient or Higher: 5th Grade Math,"% Proficient or Higher: 5th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Elementary School Student Performance,,,GA_Elem_Schools_2019
ENROLLMENT_COUNT,Fall Full-time Equivalent Count,"Fall Full-time Equivalent Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2019
ENROLL_PERCENT_ASIAN,Asian,"% Asian, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2020
ENROLL_PERCENT_NATIVE,Native American,"% Native American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2021
ENROLL_PERCENT_BLACK,Black or African-American,"% Black or African-American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2022
ENROLL_PERCENT_HISPANIC,Hispanic or Latino,"% Hispanic or Latino, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2023
ENROLL_PERCENT_MULTIRACIAL,Multiracial,"% Multiracial, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2024
ENROLL_PERCENT_WHITE,White,"% White, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2025
ENROLL_PERCENT_MIGRANT,Migrant,"% Migrant, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2026
ENROLL_PERCENT_ED,Economically Disadvantaged,"% Economically Disadvantaged, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2027
ENROLL_PERCENT_SWD,Students with Disabilities,"% Students with Disabilities, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2028
ENROLL_PERCENT_LEP,Limited English Proficiency,"% Limited English Proficiency, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2029
ENROLL_PCT_ESOL,English as a Second Language,"% English as a Second Language, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2030
ENROLL_PCT_GIFTED,Partcipating Gifted program,"% Partcipating Gifted program, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2031
direct_cert_perc,Poverty (Directly Certified Students),"% Poverty (Directly Certified Students), 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2032
